URL,Poet Name,Birth Year,Death Year,Extra Info
/wiki/Aarudhra,Aarudhra,1925,1968,"Aarudhra (born Bhagavatula Sadasiva Sankara Sastry), (1925–1968), Indian Telugu poet"
/wiki/Jonathan_Aaron,Jonathan Aaron,1941,unknown,"Jonathan Aaron (born 1941), American poet"
/wiki/Chris_Abani,Chris Abani,1966,unknown,"Chris Abani (born 1966), Nigerian poet"
/wiki/Henry_Abbey,Henry Abbey,1842,1911,"Henry Abbey (1842–1911), American poet"
/wiki/Eleanor_Hallowell_Abbott,Eleanor Hallowell Abbott,1872,1958,"Eleanor Hallowell Abbott (1872–1958), American poet, novelist and short story writer"
/wiki/Si%C3%B4n_Abel,Siôn Abel,1701,unknown,"Siôn Abel (fl. 18th c.), Welsh balladeer"
/wiki/Lascelles_Abercrombie,Lascelles Abercrombie,1881,1938,"Lascelles Abercrombie (1881–1938), English poet and literary critic"
/wiki/Arthur_Talmage_Abernethy,Arthur Talmage Abernethy,1872,1956,"Arthur Talmage Abernethy (1872–1956), American journalist, minister, scholar; first North Carolina Poet Laureate"
/wiki/Sam_Abrams,Sam Abrams,1935,unknown,"Sam Abrams (born 1935), American poet"
/wiki/Seth_Abramson,Seth Abramson,1976,unknown,"Seth Abramson (born 1976), American poet, editor and critic"
/wiki/Kosta_Abra%C5%A1evi%C4%87,Kosta Abrašević,1879,1898,"Kosta Abrašević (1879–1898), Serbian poet"
/wiki/Dannie_Abse,Dannie Abse,1923,2014,"Dannie Abse (1923–2014), Welsh poet in English"
/wiki/Kathy_Acker,Kathy Acker,1947,1997,"Kathy Acker (1947–1997), American experimental novelist, punk poet and playwright"
/wiki/Diane_Ackerman,Diane Ackerman,1948,unknown,"Diane Ackerman (born 1948), American author, poet, and naturalist"
/wiki/Duane_Ackerson,Duane Ackerson,1942,unknown,"Duane Ackerson (born 1942), American writer of speculative poetry and fiction"
/wiki/Milton_Acorn,Milton Acorn,1923,1986,"Milton Acorn (1923–1986), Canadian poet, writer, and playwright"
/wiki/Harold_Acton,Harold Acton,1904,1994,"Harold Acton (1904–1994), English writer, scholar and dilettante"
/wiki/J%C3%A1nos_Acz%C3%A9l,János Aczél,unknown,1523,"János Aczél (died 1523), Hungarian poet and provost"
